"","currency","amount","dorms","bath","age","loft","m2","backside","office","amount_normalized"
"138","USD",58000041000,4,3,26.5,FALSE,234,FALSE,FALSE,11600008200000
"139","USD",245000050000,5,NA,80,FALSE,500,FALSE,FALSE,4.900001e+13
"140","USD",29500027000,2,2,33.5,FALSE,103,FALSE,FALSE,5900005400000
"141","USD",15600014500,2,1,24.5,FALSE,50,FALSE,FALSE,3120002900000
"142","USD",34000030000,2,2,31,FALSE,109,FALSE,FALSE,6.800006e+12
"143","USD",29800017830,2,2,26,FALSE,98,FALSE,FALSE,5960003566000
"144","USD",25000018543,2,1,25.5,FALSE,71,FALSE,FALSE,5000003708600
"145","USD",21000028000,3,2,26,FALSE,70,FALSE,FALSE,4200005600000
"146","USD",17800033000,3,1,23,FALSE,73,FALSE,FALSE,3560006600000
"147","USD",23000028310,3,1,15.5,FALSE,79,FALSE,FALSE,4600005662000
"148","USD",30000028658,4,1,40.5,FALSE,109,FALSE,FALSE,6000005731600
"149","USD",19800013000,2,2,36,FALSE,110,FALSE,FALSE,3960002600000
"150","USD",28000011489,2,1,25.5,FALSE,54,FALSE,FALSE,5600002297800
"151","USD",46000051000,3,4,15.5,FALSE,164,FALSE,FALSE,9200010200000
"152","USD",90000,1,1,3,FALSE,28,FALSE,FALSE,1.8e+07
"153","USD",41500022000,2,2,30,FALSE,176,FALSE,FALSE,8300004400000
"154","USD",16900018000,2,2,26,FALSE,71,FALSE,FALSE,3380003600000
"155","USD",72000035000,3,2,13.5,FALSE,132,FALSE,FALSE,1.4400007e+13
"156","USD",16900020300,2,2,2,FALSE,58.36,FALSE,FALSE,3380004060000
"157","USD",79900,NA,1,5.5,TRUE,35,FALSE,FALSE,15980000
"158","USD",1350008800,2,1,30.5,FALSE,50,FALSE,FALSE,270001760000
"159","USD",11900019000,2,2,21,FALSE,61,FALSE,FALSE,2380003800000
"160","USD",62500050420,3,3,31.5,FALSE,202,FALSE,FALSE,12500010084000
"161","USD",26900037000,3,3,22.5,FALSE,131,FALSE,FALSE,5380007400000
"162","USD",159900,1,1,10,FALSE,71,FALSE,FALSE,31980000
"163","USD",1490006000,2,2,6,FALSE,65,FALSE,FALSE,298001200000
"164","USD",120000021000,2,3,3,FALSE,135,FALSE,FALSE,24000004200000
"165","USD",1200008000,1,1,25.5,FALSE,52,FALSE,FALSE,240001600000
"166","USD",1250008500,2,1,21.5,FALSE,54,FALSE,FALSE,250001700000
"167","USD",17500019000,2,1,20.5,FALSE,NA,FALSE,FALSE,3500003800000
"168","USD",530004000,NA,1,20.5,TRUE,26,FALSE,FALSE,106000800000
"169","USD",360000,2,1,1,FALSE,78,FALSE,FALSE,7.2e+07
"170","USD",1250006000,1,1,1,FALSE,45,FALSE,FALSE,250001200000
"171","USD",55000,1,1,1,FALSE,46,FALSE,FALSE,1.1e+07
"172","USD",39000050000,2,3,9,FALSE,84,FALSE,FALSE,7.80001e+12
"173","USD",890006800,1,1,981.5,FALSE,43,FALSE,FALSE,178001360000
"174","USD",130000041500,6,4,52,FALSE,413,FALSE,FALSE,26000008300000
"175","USD",749006400,2,1,25.5,FALSE,38,FALSE,FALSE,149801280000
"176","USD",950006600,1,1,20.5,FALSE,32,FALSE,FALSE,190001320000
"177","USD",989996000,1,1,15.5,FALSE,38,FALSE,FALSE,197999200000
"178","USD",14900020000,3,1,40.5,FALSE,90,FALSE,FALSE,2.980004e+12
"179","USD",2450002000,2,1,40.5,FALSE,72,FALSE,FALSE,490000400000
"180","USD",8900012000,NA,1,10.5,TRUE,43,FALSE,FALSE,1780002400000
"181","USD",36000025000,4,1,23,FALSE,189,FALSE,FALSE,7.200005e+12
"182","USD",350000,4,2,2,FALSE,NA,FALSE,FALSE,7e+07
"183","USD",440000,3,2,2,FALSE,148,FALSE,FALSE,8.8e+07
"184","USD",29000022400,2,2,31,FALSE,112,FALSE,FALSE,5800004480000
"185","USD",75000052000,4,4,42,FALSE,288,FALSE,FALSE,15000010400000
"186","USD",42000033000,5,3,36.5,FALSE,327,FALSE,FALSE,8400006600000
"187","USD",369000,3,3,26,FALSE,NA,FALSE,FALSE,73800000
"188","USD",780004900,1,1,1,FALSE,NA,FALSE,FALSE,156000980000
"189","USD",242000,3,1,29,FALSE,112,FALSE,FALSE,48400000
"190","USD",9000015000,1,1,18,FALSE,42,FALSE,FALSE,1.800003e+12
"191","USD",1600008900,2,1,24,FALSE,69,FALSE,FALSE,320001780000
"192","USD",900006500,1,1,13,FALSE,49,FALSE,FALSE,180001300000
"193","USD",6490010000,1,1,20.5,FALSE,40,FALSE,FALSE,1.298002e+12
"194","USD",1100006000,1,1,25.5,FALSE,38,FALSE,FALSE,220001200000
"195","USD",69500,NA,1,23,TRUE,28,FALSE,FALSE,13900000
"196","USD",699005500,NA,1,25.5,TRUE,36,FALSE,FALSE,139801100000
"197","USD",44000039000,3,3,26.5,FALSE,200,FALSE,FALSE,8800007800000
"198","USD",390000,4,3,31.5,FALSE,173,FALSE,FALSE,7.8e+07
"199","USD",69000033500,4,NA,NA,FALSE,377,FALSE,FALSE,13800006700000
"200","USD",290000046000,5,6,6,FALSE,475,FALSE,FALSE,58000009200000
"201","USD",990008375,2,1,25.5,FALSE,57,FALSE,FALSE,198001675000
"202","USD",85000,NA,1,3,TRUE,28,FALSE,FALSE,1.7e+07
"203","USD",23900017900,3,3,16.5,FALSE,93,FALSE,FALSE,4780003580000
"204","USD",72000,NA,1,1,TRUE,28,FALSE,FALSE,14400000
"205","USD",890009500,NA,1,1,TRUE,34,FALSE,FALSE,178001900000
"206","USD",790004300,NA,1,1,TRUE,25,FALSE,FALSE,158000860000
"207","USD",79000,NA,1,3,TRUE,28,FALSE,FALSE,15800000
"208","USD",69000,NA,1,1,TRUE,28,FALSE,FALSE,13800000
"209","USD",590006500,NA,NA,NA,TRUE,25,FALSE,FALSE,118001300000
"210","USD",44000047000,4,4,27,FALSE,156,FALSE,FALSE,8800009400000
"211","USD",31500040000,3,1,18,FALSE,123,FALSE,FALSE,6.300008e+12
"212","USD",11500015000,3,2,18.5,FALSE,69,FALSE,FALSE,2.300003e+12
"213","USD",17500010000,2,1,30.5,FALSE,100,FALSE,FALSE,3.500002e+12
"214","USD",344999,3,3,19.5,FALSE,150,FALSE,FALSE,68999800
"215","USD",27300020000,3,2,26,FALSE,141,FALSE,FALSE,5.460004e+12
"216","USD",29500014000,2,2,21,FALSE,92,FALSE,FALSE,5900002800000
"217","USD",35000040701,2,2,21,FALSE,129,FALSE,FALSE,7000008140200
"218","USD",690009000,1,1,30.5,FALSE,34,FALSE,FALSE,138001800000
"219","USD",11490018000,2,1,32.5,FALSE,78,FALSE,FALSE,2298003600000
"220","USD",35000040701,2,2,21,FALSE,129,FALSE,FALSE,7000008140200
